Total demand	5454.545454545457
Total restock	5999.9999999999945
MP	true
FC capacity	100
SC capacity	400
DS capacity	1000
Time	Orders	Demand	Inventory	Restock	Total packages	New packages	Delivered
0	5457	5457	5927	5927	0	0	0
1	5601	5407	6570	5906	5263	5263	0
2	5621	5414	7035	5859	8661	5394	0
3	5792	5538	7484	5816	9647	5367	2299
4	5732	5429	7690	5695	11344	5489	2310
5	5822	5476	8042	5738	11239	5386	3961
6	5811	5425	8293	5687	12318	5436	3119
7	5760	5379	8485	5622	11930	5430	4612
8	5806	5428	8836	5733	12755	5382	3488
9	5795	5410	8866	5451	12319	5421	4838
10	5740	5346	9070	5605	13206	5401	3743
11	5842	5499	9036	5363	12950	5397	4904
12	5763	5375	9040	5458	13605	5454	4037
13	5850	5464	9190	5527	13366	5377	5090
14	5859	5467	9260	5528	14094	5458	4165
15	5791	5395	9254	5457	13816	5463	5327
16	5751	5399	9399	5584	14473	5439	4353
17	5828	5459	9453	5436	14094	5382	5437
18	5721	5346	9438	5438	14550	5453	4645
19	5917	5568	9529	5463	14150	5372	5454
20	5847	5431	9460	5432	14630	5501	4711
21	5852	5406	9678	5619	14451	5401	5337
22	5910	5515	9771	5550	14799	5457	4820
23	5851	5469	9732	5489	14643	5528	5469
24	5826	5483	9829	5605	15028	5508	4953
25	5700	5360	9807	5464	14941	5486	5448
26	5795	5491	9996	5585	15095	5396	5176
27	5801	5481	9938	5417	14952	5475	5547
28	5714	5418	10056	5623	15406	5505	5043
29	5783	5490	10124	5489	15232	5421	5542
30	5743	5396	10085	5397	15381	5436	5280
31	5948	5608	10104	5422	15104	5403	5673
32	5753	5349	9980	5420	15428	5544	5202
33	5922	5533	10084	5468	15257	5364	5521
34	6112	5656	9978	5360	15471	5466	5242
35	6044	5497	9867	5454	15320	5565	5716
36	5964	5427	9790	5430	15529	5507	5298
37	5963	5476	9776	5463	15434	5477	5572
38	5939	5429	9764	5441	15453	5453	5434
39	5908	5446	9825	5538	15423	5477	5507
40	5944	5484	9813	5436	15534	5448	5337
41	5963	5494	9779	5441	15395	5475	5614
42	6036	5515	9779	5442	15372	5442	5465
43	5854	5313	9850	5566	15370	5495	5497
44	5830	5394	10017	5585	15345	5418	5443
45	5770	5352	9872	5267	15368	5412	5389
46	5832	5415	9830	5311	15167	5353	5554
47	5788	5382	9778	5374	15013	5426	5580
48	6027	5611	9817	5411	15133	5372	5252
49	5899	5434	9814	5559	15276	5562	5419
50	5954	5526	9976	5633	15449	5471	5298
51	5923	5487	9918	5460	15497	5518	5470
52	5841	5423	9970	5557	15620	5505	5382
53	6002	5588	9919	5376	15476	5427	5571
54	5823	5342	9982	5584	15596	5521	5401
55	5935	5489	10124	5519	15304	5377	5669
56	5926	5477	10200	5562	15429	5486	5361
57	5881	5423	10045	5313	15171	5468	5726
58	5850	5391	10039	5416	15413	5422	5180
59	5776	5342	10082	5459	15227	5416	5602
60	5918	5496	10117	5389	15309	5354	5272
61	5892	5432	10092	5433	15217	5458	5550
62	5922	5464	10081	5423	15294	5434	5357
63	5899	5453	10124	5519	15229	5476	5541
64	5999	5532	10069	5377	15261	5432	5400
65	5831	5367	9988	5454	15299	5535	5497
66	5922	5489	10041	5451	15419	5398	5278
67	5898	5469	10160	5612	15411	5493	5501
68	5847	5426	10130	5447	15420	5477	5468
69	5900	5485	10002	5304	15281	5432	5571
70	5837	5402	10005	5468	15413	5465	5333
71	5968	5573	10135	5572	15479	5442	5376
72	5938	5530	10076	5501	15648	5560	5391
73	5747	5351	10013	5479	15468	5542	5722
74	5858	5473	9971	5320	15484	5362	5346
75	5823	5400	10138	5602	15297	5435	5622
76	5687	5290	10120	5408	15314	5426	5409
77	5711	5373	10229	5458	15235	5349	5428
78	5664	5376	10058	5252	15208	5423	5450
79	5912	5603	10116	5413	15094	5355	5469
80	5844	5451	10017	5420	15345	5519	5268
81	5894	5512	10176	5621	15407	5462	5400
82	5883	5492	10233	5560	15441	5503	5469
83	5927	5488	10314	5525	15299	5444	5586
84	5933	5513	10261	5454	15489	5507	5317
85	5844	5445	10321	5594	15468	5534	5555
86	5755	5347	10240	5355	15590	5436	5314
87	5884	5496	10356	5483	15259	5367	5698
88	5895	5489	10317	5439	15257	5478	5480
89	5889	5455	10232	5376	15306	5461	5412
90	5879	5425	10293	5496	15428	5435	5313
91	5889	5472	10269	5438	15430	5462	5460
92	6015	5566	10323	5494	15412	5440	5458
93	5989	5508	10217	5428	15400	5534	5546
94	5849	5340	10218	5481	15563	5480	5317
95	5756	5351	10381	5607	15558	5444	5449
96	5770	5375	10510	5490	15512	5361	5407
97	5915	5519	10495	5359	15456	5374	5430
98	5819	5377	10516	5494	15381	5473	5548
99	5855	5449	10499	5396	15340	5413	5454
100	5945	5499	10383	5293	15223	5409	5526
101	5826	5374	10412	5522	15271	5493	5445
102	5755	5344	10449	5452	15419	5415	5267
103	5759	5379	10495	5421	15337	5375	5457
104	5808	5403	10586	5445	15355	5354	5336
105	5801	5440	10688	5549	15230	5447	5572
106	5750	5423	10822	5608	15243	5474	5461
107	5698	5387	10810	5427	15250	5439	5432
108	5546	5261	10661	5264	15297	5413	5366
109	5719	5474	10705	5345	15296	5301	5302
110	5823	5575	10747	5513	15291	5471	5476
111	5822	5512	10592	5358	15474	5513	5330
112	5840	5492	10585	5467	15427	5474	5521
113	5679	5355	10625	5556	15366	5516	5577
