Total demand	4999.999999999982
Total restock	5999.999999999993
MP	false
FC capacity	100
SC capacity	400
DS capacity	1000
Time	Orders	Demand	Inventory	Restock	Total packages	New packages	Delivered
0	4988	4988	5927	5927	0	0	0
1	5020	4945	6912	5898	4913	4913	0
2	5047	4976	7717	5754	7751	4949	0
3	5140	5056	8346	5592	9446	4963	1575
4	5043	4952	8717	5420	10142	5049	2920
5	5080	5021	9170	5437	10498	4984	3177
6	4996	4972	9428	5314	10918	5056	3530
7	4975	4951	9739	5283	11124	4972	3707
8	5080	4979	10155	5290	11407	4874	3812
9	5056	4947	10310	5126	11744	4971	3976
10	4972	4884	10570	5228	11976	4968	4195
11	5116	5017	10670	4973	12026	4873	4312
12	5062	4910	10706	5000	12130	4964	4416
13	5187	5006	10874	5049	12273	4881	4309
14	5227	4996	11037	5119	12262	4956	4525
15	5168	4924	11047	4993	12451	4983	4489
16	5210	4943	11250	5104	12504	4901	4488
17	5261	4992	11266	4957	12626	4941	4568
18	5210	4897	11361	5043	12557	4948	4719
19	5455	5063	11460	4917	12442	4818	4641
20	5389	4953	11398	4957	12563	5019	4659
21	5395	4925	11563	5084	12515	4919	4673
22	5519	5065	11710	5088	12607	4941	4533
23	5551	5010	11719	4987	12664	4978	4711
24	5557	4995	11929	5199	12795	4989	4679
25	5477	4884	11850	4885	13207	4964	4380
26	5698	5069	12137	5135	13158	4848	4798
27	5703	5029	12027	4914	13257	5024	4798
28	5701	5001	12121	5097	13440	5003	4734
29	5697	5033	12059	4975	13468	5037	4885
30	5661	4976	12050	5003	13613	5012	4795
31	5876	5151	12070	4956	13569	4936	4933
32	5677	4882	12005	5016	13656	5081	4937
33	5809	5067	12089	5019	13521	4935	4993
34	6023	5211	12005	4913	13726	4997	4767
35	5934	5052	11838	4974	13919	5141	4936
36	5902	4964	11743	4901	13994	4996	4905
37	5952	5052	11825	5084	14093	5002	4901
38	5883	4975	11767	4986	14137	5044	4997
39	5867	4999	11841	5089	14275	5015	4873
40	5876	5036	11776	4962	14329	5027	4971
41	5860	5015	11791	5046	14223	5031	5137
42	5937	5048	11816	4996	14260	4971	4928
43	5729	4829	11856	5077	14348	5037	4949
44	5743	4900	12088	5118	14198	4886	5036
45	5711	4875	12049	4868	14109	4907	4996
46	5800	4963	12052	4877	13918	4874	5065
47	5782	4966	12021	4953	13974	4984	4928
48	6032	5151	12041	4921	14142	4901	4733
49	5925	4951	12042	5059	14317	5058	4883
50	5982	5066	12019	4986	14422	5009	4904
51	5986	5036	12009	5022	14609	5032	4845
52	5879	4953	12008	5059	14732	5060	4937
53	6039	5114	11994	4940	14665	4954	5021
54	5862	4869	12062	5114	14780	5046	4931
55	6068	5066	12225	5023	14469	4860	5171
56	6072	5030	12216	5017	14623	5026	4872
57	6049	5000	12087	4894	14475	5023	5171
58	6039	4928	12157	5008	14542	4938	4871
59	6021	4894	12264	5019	14402	4912	5052
60	6091	5008	12209	4883	14487	4938	4853
61	6160	5005	12191	4918	14509	4936	4914
62	6166	5012	12150	4965	14652	5006	4863
63	6195	5012	12208	5041	14521	4983	5114
64	6328	5089	12115	4863	14631	4956	4846
65	6202	4900	12057	4968	14644	5026	5013
66	6350	5029	12164	4988	14575	4881	4950
67	6326	5022	12245	5127	14798	5046	4823
68	6280	4976	12264	5041	14797	5022	5023
69	6342	5048	12161	4883	14864	4986	4919
70	6278	4968	12107	4978	14853	5032	5043
71	6422	5125	12291	5165	14884	4981	4950
72	6414	5037	12242	4996	15029	5045	4900
73	6362	4935	12237	4982	14917	4987	5099
74	6425	4992	12186	4878	14859	4929	4987
75	6331	4937	12267	5112	14924	5031	4966
76	6237	4822	12341	4990	14763	4916	5077
77	6270	4897	12443	4966	14741	4864	4886
78	6279	4905	12426	4879	14603	4896	5034
79	6552	5142	12490	4933	14584	4869	4888
80	6459	5009	12306	4918	14825	5102	4861
81	6516	5057	12354	5048	15026	5000	4799
82	6517	5025	12405	5075	15050	5024	5000
83	6553	4997	12454	5010	14959	4961	5052
84	6579	5045	12455	5020	14934	5019	5044
85	6632	4997	12604	5093	14935	4944	4943
86	6574	4899	12543	4896	14941	4957	4951
87	6736	5024	12607	4926	14796	4862	5007
88	6764	5034	12537	4936	14834	5006	4968
89	6736	5000	12379	4870	14913	5028	4949
90	6710	4982	12448	5077	14956	5008	4965
91	6684	5029	12392	4999	15133	5055	4878
92	6819	5127	12396	4996	15145	4992	4980
