Total demand	5217.391304347849
Total restock	5999.9999999999945
MP	false
FC capacity	100
SC capacity	400
DS capacity	1000
Time	Orders	Demand	Inventory	Restock	Total packages	New packages	Delivered
0	5220	5220	5927	5927	0	0	0
1	5303	5176	6748	5914	5093	5093	0
2	5357	5197	7396	5791	7952	5143	0
3	5491	5280	7946	5696	9678	5146	1543
4	5409	5183	8182	5501	10463	5265	2934
5	5482	5241	8584	5570	10830	5168	3202
6	5457	5188	8840	5469	11283	5213	3570
7	5455	5173	9083	5418	11539	5175	3759
8	5519	5202	9427	5482	11856	5138	3917
9	5563	5179	9572	5280	12149	5135	4046
10	5502	5112	9842	5443	12388	5173	4296
11	5648	5245	9867	5124	12451	5099	4423
12	5611	5142	9850	5162	12590	5179	4487
13	5730	5222	10005	5258	12751	5103	4427
14	5779	5216	10182	5344	12759	5167	4639
15	5783	5134	10212	5160	12920	5130	4576
16	5881	5158	10430	5278	12922	5060	4650
17	5946	5208	10489	5202	13094	5143	4690
18	5906	5113	10565	5229	13050	5153	4813
19	6213	5316	10745	5189	12914	5009	4778
20	6143	5185	10622	5132	13094	5255	4777
21	6197	5135	10810	5269	13028	5081	4775
22	6340	5266	10915	5228	13119	5123	4666
23	6435	5211	10982	5183	13087	5116	4895
24	6495	5233	11134	5325	13237	5173	4800
25	6444	5106	11053	5076	13334	5157	4847
26	6709	5268	11348	5298	13307	5003	4873
27	6747	5251	11206	5071	13335	5213	5025
28	6757	5196	11276	5256	13487	5186	4890
29	6763	5244	11203	5165	14051	5238	4525
30	6792	5181	11178	5127	14128	5152	4952
31	7036	5384	11160	5122	14197	5140	5011
32	6882	5105	11107	5206	14250	5259	5142
33	7018	5292	11100	5149	14340	5156	5014
34	7247	5429	11033	5133	14580	5200	4930
35	7160	5264	10862	5180	14831	5351	5093
36	7158	5173	10863	5176	14835	5175	5139
37	7219	5262	10880	5218	14997	5201	5037
38	7163	5194	10758	5128	15101	5250	5143
39	7184	5217	10805	5243	15256	5196	5024
40	7187	5241	10801	5234	15337	5238	5157
41	7224	5244	10817	5223	15275	5207	5261
42	7334	5266	10830	5169	15346	5156	5085
43	7167	5042	10855	5234	15493	5209	5062
44	7275	5145	11101	5283	15282	5037	5248
45	7280	5107	11049	5050	15291	5102	5093
46	7307	5173	10985	5082	15200	5146	5237
47	7375	5174	11043	5164	15180	5106	5126
48	7698	5376	11052	5062	15294	5053	4939
