zip,lat,lng,population
45011,39.42892,-84.50173,72320
73099,35.52583,-97.76343,72074
98052,47.68148,-122.1203,71940
93065,34.26206,-118.77151,71906
97007,45.44282,-122.87112,71896
19124,40.01728,-75.09387,71858
80219,39.69496,-105.03432,71795
30041,34.20166,-84.09371,71750
78046,27.38371,-99.36803,71726
30127,33.87647,-84.69648,71709
60505,41.76527,-88.29576,71617
97229,45.55032,-122.81026,71529
92563,33.58435,-117.14458,71394
949,18.43166,-66.21349,71371
60085,42.35498,-87.86467,71265
91766,34.04192,-117.75698,71189
92021,32.83514,-116.87462,71183
84118,40.65598,-112.03812,71133
80134,39.48282,-104.77957,71112
953,18.36319,-66.24764,70997
89110,36.17367,-115.05549,70865
91402,34.22413,-118.4448,70702
96797,21.40734,-158.01658,70684
60657,41.93965,-87.65495,70489
20906,39.08858,-77.05522,70441
10463,40.88841,-73.89905,70236
80015,39.62737,-104.79497,70215
6902,41.05949,-73.54751,70199
28277,35.05212,-80.81622,70193
60641,41.94667,-87.74693,70163
30281,33.56338,-84.1961,70098
98012,47.84205,-122.19813,70009
95123,37.24479,-121.83306,70005
11215,40.66255,-73.98687,69995
32828,28.53052,-81.17022,69913
92114,32.70778,-117.05529,69858
7055,40.85746,-74.12821,69842
85204,33.39666,-111.78786,69792
85225,33.31748,-111.83167,69790
87114,35.19718,-106.68216,69752
60640,41.97253,-87.66372,69726
20011,38.95295,-77.02323,69686
75068,33.17713,-96.95228,69656
30052,33.81654,-83.89538,69518
33186,25.65565,-80.41062,69459
90262,33.92384,-118.20133,69369
94509,37.99214,-121.8142,69295
85281,33.42805,-111.93157,69197
85301,33.53219,-112.17817,69181
77036,29.70119,-95.53659,69154
20002,38.90511,-76.98431,69141
30022,34.02745,-84.24643,69135
95687,38.3344,-121.91765,69073
76179,32.91397,-97.43947,69066
89031,36.25846,-115.17075,69016
78596,26.10668,-97.99856,68984
93230,36.28967,-119.62514,68896
60620,41.74096,-87.65257,68761
77845,30.56212,-96.27607,68757
90631,33.94266,-117.95126,68748
30047,33.87104,-84.11304,68700
21234,39.395,-76.53252,68678
93536,34.75267,-118.3889,68575
30096,33.97691,-84.14791,68570
28027,35.40879,-80.67524,68564
95747,38.77963,-121.36798,68541
11691,40.60152,-73.76173,68454
11209,40.62175,-74.03013,68368
37075,36.34085,-86.60845,68336
75243,32.91232,-96.73633,68253
83646,43.65,-116.43247,68189
7087,40.76723,-74.03243,68121
10472,40.82968,-73.86942,67989
78045,27.83197,-99.65963,67981
23462,36.8366,-76.15105,67963
33015,25.94116,-80.31761,67952
92407,34.22394,-117.38839,67866
30135,33.67285,-84.74523,67853
90026,34.07883,-118.2637,67657
11706,40.706,-73.24208,67484
84043,40.41209,-111.87377,67436
11213,40.67117,-73.93632,67382
90037,34.00271,-118.28747,67377
48197,42.1973,-83.62903,67335
94538,37.50653,-121.96361,67283
33157,25.60671,-80.34314,67268
94080,37.65541,-122.42083,67263
84015,41.12073,-112.06129,67245
75067,33.01416,-97.00268,67197
19111,40.06065,-75.08019,67159
95624,38.43203,-121.30506,67017
94558,38.50846,-122.26497,66854
43123,39.86801,-83.12088,66649
7305,40.69839,-74.08158,66595
30004,34.14352,-84.29926,66538
11746,40.81421,-73.3608,66518
33027,25.98245,-80.34359,66467
92703,33.74853,-117.90621,66428
89115,36.25374,-115.04285,66378
89121,36.12141,-115.09135,66344
94541,37.67376,-122.08707,66182
99654,61.607,-149.41443,66177
90022,34.02455,-118.15608,66168
30331,33.70627,-84.54439,65996
95758,38.42932,-121.44603,65952
78251,29.46292,-98.67763,65885
32218,30.48673,-81.66959,65878
85308,33.66029,-112.18486,65799
20019,38.89214,-76.94195,65769
92801,33.84441,-117.95175,65757
66061,38.89633,-94.88029,65730
95206,37.8961,-121.41051,65643
43081,40.11064,-82.89083,65592
92677,33.52777,-117.70523,65508
94513,37.92541,-121.68452,65454
91343,34.23837,-118.48076,65344
23322,36.62703,-76.26929,65272
94015,37.68121,-122.48074,65199
92562,33.53579,-117.35098,65159
7002,40.66681,-74.11582,65112
17603,40.0127,-76.35287,65022
77072,29.70006,-95.58539,65015
60628,41.69165,-87.61828,65008
92201,33.70804,-116.23502,64967
38401,35.62955,-87.02097,64822
29681,34.76988,-82.22218,64806
11201,40.69477,-73.99031,64798
10027,40.81187,-73.95459,64728
10977,41.11749,-74.04825,64677
85041,33.38643,-112.10928,64657
94501,37.77525,-122.27493,64487
87120,35.14097,-106.76522,64398
85033,33.49443,-112.21193,64388
28215,35.24854,-80.69571,64293
11432,40.71491,-73.79295,64282
84404,41.27198,-112.11705,64249
14850,42.43249,-76.49891,64224
29072,33.9985,-81.27098,64143
33463,26.59508,-80.12968,64116
7093,40.78675,-74.00871,64062
46307,41.40215,-87.32693,64043
32822,28.49001,-81.29056,64013
28078,35.40545,-80.86633,64000
2301,42.07791,-71.04223,63920
30062,33.99977,-84.46899,63906
20147,39.04151,-77.47958,63903
30188,34.11873,-84.45526,63869
91762,34.02764,-117.64308,63819
32765,28.66732,-81.20033,63800
77346,29.99027,-95.17777,63772
98682,45.67296,-122.48327,63768
92115,32.76154,-117.07187,63755
8753,39.98091,-74.15055,63750
93906,36.72258,-121.63218,63733
60651,41.90202,-87.74104,63679
78664,30.50461,-97.64583,63661
94806,37.97811,-122.33618,63603
20878,39.11376,-77.24781,63576
95020,37.01461,-121.55718,63522
44256,41.14092,-81.85954,63462
43026,40.02197,-83.18472,63456
85326,33.23735,-112.58538,63438
40475,37.7635,-84.30828,63422
92346,34.12629,-117.1792,63395
78745,30.20743,-97.79822,63287
91977,32.72387,-116.99631,63267
92404,34.17862,-117.23891,63261
95127,37.37453,-121.78733,63220
44035,41.36539,-82.13025,63198
91770,34.06395,-118.08361,63177
11372,40.75172,-73.88367,63107
85008,33.46355,-111.98746,62995
89123,36.0352,-115.14908,62982
78574,26.31118,-98.37293,62972
78250,29.50341,-98.66668,62951
33313,26.15069,-80.22634,62945
19143,39.94315,-75.22664,62927
11717,40.78405,-73.25223,62888
90640,34.01506,-118.111,62873
90019,34.04861,-118.33874,62816
91950,32.66952,-117.09313,62783
75071,33.24558,-96.62951,62769
27406,35.9982,-79.76686,62757
60402,41.83237,-87.78983,62729
75043,32.8571,-96.57986,62721
42101,37.06552,-86.47809,62715
92707,33.70991,-117.87045,62698
11434,40.67683,-73.77623,62590
90660,33.98868,-118.09111,62507
32210,30.26491,-81.74746,62457
92627,33.64786,-117.9205,62437
11210,40.62801,-73.94631,62423
92504,33.90607,-117.39854,62423
77373,30.06143,-95.38423,62350
79928,31.67896,-106.11511,62344
95608,38.62611,-121.32886,62330
77396,29.94778,-95.26129,62309
10023,40.77464,-73.97836,62228
43055,40.1168,-82.37672,62215
43130,39.70013,-82.60992,62127
78640,29.99619,-97.82355,61991
78240,29.5244,-98.60813,61937
77077,29.75375,-95.64189,61908
75150,32.81545,-96.6308,61863
60073,42.3516,-88.10597,61856
74012,36.05381,-95.80509,61855
