,lat,lon
#HOU3 ,29.785268,-95.8079763
#SAT2 ,29.83736355,-97.96290105
#SAT1 ,29.57406711,-98.27317087
#DAL9 ,32.5890243,-96.6852724
#SLC1 ,40.78623,-111.900014
#SLC2 ,40.570894,-112.053563
#SLC3/HSL1 ,40.774501,-112.037524
#SLC4 ,40.752358,-111.97329
#RIC5 ,37.7304332,-77.45658627
#RIC2 ,37.3511118,-77.3268592
#BWI4 ,39.28938,-78.078664
#RIC1 ,37.19469625,-77.49304279
#RIC3/#HRC1 ,37.458453,-77.42745
#BWI1 ,38.98658599,-77.43926255
#BFI3 ,47.1125227,-122.6389637
#BFI4 ,47.38687828,-122.2662809
#BFI5 ,47.41755825,-122.2599311
#BFI6 ,47.419693,-122.226727
#SEA6/#SEA8 ,47.62112711,-122.1751317
#BFI8 ,47.4170623,-122.3046542
#GEG1 ,47.6006386,-117.5533553
#BFI1 ,47.24100835,-122.2432923
#BFI7 ,47.24021,-122.23942
#MKE1 ,42.60754225,-87.94813834
#MKE2 ,42.86776,-87.93239567
